video_id,video_published_timestamp,channel_id,channel_name,creator_type_id,video_length,views_final,impressions_final,like_final,comment_final,views3s_1k,impressions_1k,like_1k,comments_1k,views3s_5k,impressions_5k,like_5k,comments_5k
1003293784462230,3/15/24 21:45,100474954808558,BruhmanTv,CP Medium,486,1186,2937,17,8,360,1000,9,4,,,,
1006175824494570,3/8/24 22:01,1766091956951910,Amazing Gaming,JSO,359,994,3027,1,,293,1124,,,,,,
1007480763650670,1/10/24 21:00,110554014442388,Bratterstein,CP Medium,785,60904,96520,1094,51,593,1160,23,3,4002,6710,127,11
1007620776996620,1/4/24 17:10,103327818996077,House of Bounce - France,JSO,209,10085,18922,326,1,366,2115,48,,2546,5346,99,
1009999323413070,1/2/24 16:30,149245572393056,Soccer Stories,JSO,412,130986,286634,760,116,9471,39359,185,7,9471,39359,185,7
1016741246079410,1/13/24 22:12,107252434333236,Just Rolled In,CP Standard,186,886216,1160128,29008,184,2813,3266,113,2,6029,8773,271,5
1017166969371130,1/6/24 2:00,107492817599601,Victory Outdoor Services,CP Standard,338,534100,1006887,7151,165,17679,31591,494,27,17679,31591,494,27
1019003699831680,3/14/24 18:00,894332950616089,Gamology - The Best of Gaming,JSO,400,203323,382255,2174,351,1643,2855,12,3,3424,7966,28,12
1019645426001150,1/12/24 21:55,109972796360879,JRGo,CP Light,486,6730,23724,103,4,358,1173,4,1,1599,5266,29,1
1021024315643540,1/14/24 21:00,182160888858113,Dia de Paula,CP Light,569,96350,189558,1972,177,328,1396,27,1,2113,5168,115,6
1021153195649110,2/12/24 20:00,1429851870430170,Gamology - Creators Network +,JSO,377,133155,222315,1760,5,401,1002,4,,2096,5033,23,
1021352295600660,1/12/24 22:07,111041287337137,Bruce Wilson,CP Standard,455,863112,1477547,7173,688,3818,8955,110,6,3818,8955,110,6
1021834995579200,1/21/24 13:24,214396342065086,Oh My Goal - France,JSO,194,339402,561518,7312,43,4811,9740,101,4,4811,9740,101,4
1023187402626860,3/30/24 2:00,107680377658101,Laura Farms,CP Standard,367,192981,344443,12763,992,2246,6271,440,46,2246,6271,440,46
1023204035435830,1/26/24 2:00,107492817599601,Victory Outdoor Services,CP Standard,331,231117,447352,3295,70,11357,23363,287,6,11357,23363,287,6
1023487062051930,1/4/24 22:59,103485821293665,Sonne Farms,CP Light,248,110116,198120,1827,49,518,1062,36,2,3167,5578,112,4
1023929209094110,3/19/24 17:02,1766091956951910,Amazing Gaming,JSO,194,12784,25076,425,14,522,1003,11,,2654,5170,37,
1024627988645900,1/14/24 11:30,139594698297,PSG - Paris Saint-Germain (Default),JSO,315,10897,57706,1279,89,8523,44379,960,83,8523,44379,960,83
1027972574936950,1/31/24 17:00,103859881233680,Kara and Nate,CP Standard,513,1605336,2588150,47716,766,954,7352,121,10,954,7352,121,10
1030481658180430,1/4/24 22:00,415278259325441,Jessica Kent,CP Standard,330,52746,108930,1468,92,948,2125,44,3,2493,5983,132,3
1031059347964990,2/3/24 20:00,109662955104756,Lost Trades - Eugenio Monesma,CP Standard,651,124977,220372,1414,70,847,1572,31,2,2666,5119,125,8
1031672354587920,2/6/24 2:00,1661301174087040,Brian Barczyk,CP Standard,51,23202,82789,780,29,308,1713,19,1,2297,7300,108,8
1031978471425440,1/13/24 21:00,1661301174087040,Brian Barczyk,CP Standard,479,527261,1142990,27470,1934,17270,32415,1114,90,17270,32415,1114,90
1033899821048770,2/1/24 21:00,152184808707676,Her Studio,JSO,185,772231,1174253,1148,7,884,1384,,,3463,5387,6,
1034697550946640,1/12/24 21:00,200591487539890,Flow Podcast,CP Medium,380,44165,93161,1086,124,487,1271,27,2,2092,5081,86,8
1034863130924940,1/29/24 17:10,106447205166831,House of Bounce,JSO,240,12638,31798,130,8,526,1201,4,1,1947,5265,28,2
1035051307599900,1/5/24 21:00,444541455594502,Dani Delanos,CP Medium,378,147212,274746,5078,98,1151,1929,80,2,2729,5985,250,12
1035378764385500,1/18/24 21:00,534479409957494,Vincenzo's Plate,CP Standard,853,139670,294728,1367,292,1610,4804,32,11,3469,8488,64,19
1035725384157790,2/20/24 22:00,101416351605527,iowANFarmer,CP Medium,196,1657,5409,83,2,332,1024,44,2,1525,5005,73,2
1036184207443100,2/11/24 19:00,1722055664709840,Bros of Decay,CP Light,465,12443,34460,625,9,338,1100,45,1,2037,5847,158,1
1036189144157730,1/12/24 20:00,107680377658101,Laura Farms,CP Standard,94,380677,733762,11035,310,2036,3352,191,16,5975,10371,493,32
1036849897426210,1/18/24 0:00,2081165618785740,Da Garbage Disposal,CP Medium,306,54142,105121,1189,73,1046,1610,34,11,15666,32155,387,42
1036873027410500,1/24/24 17:06,111041287337137,Bruce Wilson,CP Standard,16,348328,641643,9613,353,10342,19328,397,13,10342,19328,397,13
