views_final,views3s_1k,impressions_1k,like_1k,comments_1k,views3s_5k,impressions_5k,like_5k,comments_5k
378,214,1000,25,0,322,5049,37,0
752,25,996,1,0,47,5029,2,0
122,79,953,4,0,100,4965,4,0
879,327,956,12,0,553,5008,12,0
300,166,984,9,0,224,5030,12,0
2265,165,997,8,0,248,5003,15,0
1030,655,1022,120,19,889,5028,151,23
168,106,1021,11,0,142,4965,15,0
912,412,994,77,1,791,4964,161,2
2675,251,1030,10,0,429,5047,16,1
411,147,1030,15,0,285,4960,32,0
366,172,1046,12,2,274,5014,19,4
146,75,1045,6,0,101,5028,9,0
655,282,1021,22,0,445,5039,38,0
7050,394,968,43,2,595,5017,68,4
653,310,1012,19,0,479,4992,27,0
2693,295,987,32,1,418,5018,57,2
3729,275,1016,8,0,528,5048,9,0
7467,349,1008,21,1,443,4962,28,1
281,184,1018,8,0,260,4959,12,0
5454,466,962,33,2,687,5024,50,3
553,194,996,14,0,352,5031,30,1
1416,73,1010,2,0,128,5047,4,0
2131,132,980,6,0,230,4990,12,0
1915,349,1029,44,3,561,4999,67,4
7747,669,1045,19,0,1005,5036,35,0
1202,135,971,6,0,175,5020,8,0
4214,714,1042,33,0,1073,5008,45,0
3357,544,1035,37,2,770,4988,48,2
178,13,992,0,0,24,4952,0,0
1249,631,1016,46,0,935,5025,68,0
636,236,1003,9,0,451,4956,14,0
4128,338,959,25,4,642,4998,37,6
7355,464,991,15,0,919,4975,31,0
3971,524,1013,20,0,697,4982,17,0
1599,686,970,50,2,1197,4997,108,4
564,118,1029,6,0,153,5028,6,0
1457,713,1025,16,0,1159,4951,38,0
615,288,1015,5,0,439,5020,14,1
385,189,990,10,0,272,4981,17,0
558,352,973,11,0,439,4953,9,0
689,363,984,11,0,529,4969,26,0
5686,477,1005,27,0,944,4985,62,1
1974,246,979,20,0,464,4981,41,0
5212,422,1006,27,2,744,4977,42,3
2600,257,1043,23,0,431,5026,38,0
1898,232,996,7,0,302,4950,5,0
342,181,984,3,0,319,5009,2,0
1886,229,968,16,0,377,5005,33,0
3763,534,957,29,1,868,4984,54,3
226,127,975,8,0,153,4979,9,0
1540,136,1020,4,0,224,5003,7,0
46,21,979,1,0,34,4985,3,0
2580,302,956,20,0,558,5004,43,0
547,226,1016,20,4,385,5038,31,7
2474,511,1014,7,0,675,5029,4,0
4598,530,985,39,1,1023,5007,76,1
175,115,974,2,0,146,5032,3,0
375,194,986,4,0,262,5014,2,0
1413,652,950,49,0,1299,5018,82,1
354,139,964,8,0,266,5000,13,0
104,56,986,2,0,67,4971,1,0
383,154,962,9,0,306,5037,19,0
465,187,957,6,0,371,5002,6,0
1007,507,954,23,2,763,5049,48,5
1662,379,1009,21,0,469,4985,21,0
3730,316,1022,20,0,491,5017,24,1
581,227,950,1,0,366,4985,6,0
1691,157,985,16,0,243,5001,25,0
464,82,984,6,0,103,5002,7,0
2272,408,1015,45,2,660,5031,75,4
67,12,1012,0,0,17,4999,1,0
490,181,972,5,0,348,5029,11,0
4493,278,958,24,0,356,4990,34,0
844,453,983,14,2,712,4967,12,2
687,102,995,7,0,157,4971,12,0
12240,711,1027,81,0,1260,5015,140,0
2920,112,953,4,0,174,4970,6,0
720,434,979,10,0,547,5049,12,0
3073,241,1044,11,0,339,4993,11,0
453,257,1024,22,0,413,4996,36,1
3125,547,1048,16,0,680,4988,26,0
858,331,1021,17,4,546,4978,25,5
465,97,952,21,1,120,5003,28,2
933,462,963,1,0,881,5039,1,0
566,425,1009,4,0,512,5034,13,0
2847,235,1026,5,0,431,4966,10,0
197,116,994,1,0,171,5029,3,0
1706,269,1045,30,0,459,5009,50,0
934,190,983,13,0,278,4980,20,0
2139,293,994,55,3,451,5022,84,5
4910,739,1010,17,1,1040,5044,13,1
3460,259,1032,12,0,503,5027,27,1
3330,240,965,14,0,407,4998,25,1
872,154,1015,6,0,244,4951,13,1
1969,245,989,4,0,440,4997,3,0
1761,218,966,8,1,327,4963,5,0
1303,200,983,5,0,328,5008,14,0
7138,297,965,18,1,564,5046,30,2
484,214,1009,30,4,341,5048,48,6
727,308,1015,7,0,490,5007,2,0
8695,433,1015,8,0,715,5007,9,0
1898,185,1039,6,0,343,5000,12,0
2925,364,962,7,0,555,5033,5,0
7429,735,1005,79,3,1237,4951,125,6
2572,542,980,18,0,668,4990,10,0
1948,433,983,24,0,548,5032,38,0
5145,477,988,2,0,700,5031,0,0
2425,299,1016,4,0,443,4965,0,0
1308,635,957,41,0,885,4953,35,0
1009,160,1036,6,0,299,4961,9,0
323,186,1027,4,0,285,4978,9,0
272,62,1004,4,0,77,4956,6,0
2886,168,976,1,0,234,4963,0,0
305,189,1042,2,0,252,4961,0,0
1241,124,1002,3,0,166,5048,3,0
587,268,988,8,0,516,4954,15,0
1684,362,1014,13,0,442,5030,18,0
5025,380,966,13,0,649,4981,23,0
916,306,979,18,1,549,5023,41,2
2645,560,1002,47,0,706,4992,52,0
770,401,962,3,0,578,5030,0,0
2199,432,970,23,0,630,5018,33,0
58,39,968,3,0,47,4994,4,0
367,268,1002,10,0,327,4958,15,0
2563,275,968,5,0,492,4998,9,0
1577,192,1006,3,0,235,4982,3,0
569,349,974,12,0,521,5049,24,1
811,73,1035,4,0,135,5049,7,0
2952,435,980,28,0,635,4967,56,0
4352,632,1030,27,1,805,4958,37,2
598,298,1004,22,0,459,5011,26,0
371,175,972,7,0,321,5006,12,0
1406,675,981,38,1,1272,4978,43,1
225,121,1011,6,0,213,5027,9,0
122,76,1023,3,0,100,4974,3,0
268,133,959,19,1,205,4964,34,1
612,370,1049,35,0,525,4955,49,0
507,334,1021,32,0,459,4991,43,0
688,271,1003,9,0,529,4978,11,0
6985,533,1001,13,0,950,5028,43,1
990,441,969,38,5,710,5042,65,8
1882,248,981,6,0,459,4953,8,0
1389,283,963,21,1,362,5031,24,1
1223,245,999,17,0,322,5006,19,0
1111,391,977,36,0,772,4998,72,0
1057,491,1002,43,0,687,4993,55,0
485,189,973,3,0,348,5029,4,0
992,380,1028,43,3,707,5024,88,7
1027,62,971,0,0,104,4963,0,0
77,59,979,3,0,72,4952,3,0
410,283,1012,23,0,376,5011,29,0
621,403,953,5,0,499,5013,6,0
154,73,1026,5,0,123,4994,8,0
356,205,1008,3,0,314,5031,4,0
1893,353,1036,19,2,528,5007,35,4
1198,502,957,22,0,757,4969,42,0
6151,500,1031,77,5,778,5007,107,8
428,192,961,1,0,287,5038,0,0
1857,293,980,30,1,504,5006,58,2
582,314,1027,5,0,390,5026,6,0
183,81,983,13,0,123,5017,20,0
1113,84,1031,2,0,157,5027,6,0
7028,737,1047,31,1,1381,5046,46,2
367,77,1024,13,1,110,5041,18,1
959,417,1025,39,0,735,5001,69,0
1248,152,998,11,0,222,4986,18,1
1063,492,1028,62,7,941,4957,120,15
388,190,1006,14,1,270,4993,19,1
3158,327,1044,19,0,605,5047,32,0
2253,325,1042,20,0,405,4954,27,0
268,118,975,6,0,189,5018,10,0
55,26,967,0,0,47,4980,0,0
1666,311,1045,21,1,396,4994,28,1
3110,412,1035,16,0,634,4958,7,0
8006,552,987,23,2,1027,4981,55,5
63,34,1030,2,0,45,4982,2,0
331,214,1036,32,0,279,5016,43,1
292,132,1037,11,0,205,4979,19,0
699,318,999,30,0,454,5025,46,0
1057,530,957,19,0,872,4978,47,1
262,179,990,14,0,234,4952,18,0
293,62,955,7,0,78,5039,9,0
585,369,1018,11,0,503,5006,15,0
640,476,993,24,0,587,4979,30,0
956,635,1013,66,0,768,4958,80,0
346,66,978,5,0,80,4975,6,0
315,146,977,4,0,269,4951,10,1
71,44,960,1,0,65,5011,1,0
7989,830,1014,21,0,1483,4952,55,0
1218,592,968,11,0,1081,4995,21,0
494,231,958,4,0,443,5017,9,0
472,292,976,22,0,391,4974,32,0
616,350,983,34,3,549,5000,52,5
759,276,993,1,0,469,4962,0,0
722,107,1017,8,0,167,4993,15,1
1847,199,1049,7,0,326,4984,16,0
781,59,1031,4,0,88,5004,7,0
405,292,964,18,1,357,5036,20,1
490,318,1000,28,0,389,4958,26,0
621,278,962,12,0,416,4951,20,0
10968,564,1032,22,0,1059,5010,28,0
249,171,998,1,0,226,4990,2,0
338,223,1019,8,1,308,4993,11,1
5803,172,1005,16,0,307,5013,29,0
1141,558,1025,49,0,892,4980,77,0
15964,408,1000,20,1,808,4996,40,2
389,51,986,2,0,100,4951,2,0
2518,166,966,9,1,279,5045,19,3
457,214,1007,15,0,394,5031,26,0
470,248,1036,8,0,411,5026,12,0
1292,396,1039,24,5,790,5018,39,7
1001,477,978,14,0,641,5007,21,1
698,485,982,24,1,621,4993,32,1
320,178,1009,18,1,216,5023,17,0
300,114,1040,1,0,196,5005,4,0
522,56,1038,7,0,73,4992,10,0
335,129,1004,12,0,232,5038,21,0
1971,236,959,3,0,373,4983,0,0
757,290,996,14,0,466,4979,20,1
653,323,972,19,2,502,5020,24,3
204,125,1034,8,0,157,5019,10,0
1081,212,970,5,0,306,5004,7,0
2121,304,962,29,0,452,5016,44,1
4949,367,982,16,0,653,4962,38,0
1105,101,973,5,0,170,4952,9,0
963,475,960,18,0,670,4975,17,0
1978,137,966,18,0,197,5006,26,0
464,229,1017,22,0,289,4973,28,1
169,107,996,1,0,152,5002,0,0
2924,338,974,15,0,539,5019,29,1
469,57,1043,13,0,97,4992,23,0
4380,475,1022,62,0,620,5009,74,0
7425,471,970,7,0,700,5007,8,0
1637,184,1033,3,0,311,4998,8,0
1617,317,1032,16,0,457,4991,25,0
8896,422,1032,35,0,687,5025,59,0
5817,291,961,19,0,387,5049,22,0
640,262,986,16,0,508,5015,27,0
6027,400,991,10,0,595,4960,8,0
3712,304,966,4,0,596,5047,5,0
1160,679,997,10,0,995,5039,6,0
1096,80,977,1,0,129,4967,6,0
960,416,990,15,0,704,5034,35,0
603,387,1048,23,0,474,5049,32,1
7982,419,996,18,1,547,5001,31,2
794,332,967,20,2,657,4995,49,5
612,352,1027,3,0,464,4993,0,0
627,300,1048,29,2,510,4971,54,4
648,317,1020,7,0,560,5002,12,0
2646,330,962,17,0,587,5008,24,1
507,235,1031,41,0,450,5043,80,0
2692,79,962,4,0,136,4979,8,0
993,511,1049,9,0,923,4957,13,0
708,249,980,10,0,445,5047,19,0
551,282,951,17,0,379,5006,23,0
232,79,965,5,0,156,5022,11,0
2547,276,958,18,0,547,4969,43,0
859,116,1022,0,0,225,4974,4,0
275,148,987,4,0,218,4968,0,0
707,500,1024,28,0,607,4954,27,0
996,107,1003,4,0,210,5024,7,0
460,305,1005,14,0,412,5028,25,0
505,175,1035,14,0,325,5021,17,0
190,59,1046,0,0,117,5032,1,0
6983,600,1049,22,1,1165,5036,49,2
2023,291,1036,55,0,511,4976,95,0
737,59,994,7,0,74,4989,8,0
141,87,983,1,0,117,5045,1,0
701,498,958,62,1,624,4975,67,2
3696,435,1037,9,0,668,4976,20,0
1903,279,957,9,0,535,5011,18,0
494,63,956,3,0,113,5032,7,0
2226,290,985,14,0,504,4999,29,1
573,304,967,48,3,543,4991,82,5
514,95,952,6,0,147,4978,7,0
646,363,977,40,3,614,4988,77,8
856,186,1019,2,0,236,5009,7,0
450,184,993,14,1,366,4990,31,2
7725,263,970,23,1,514,4982,45,2
14016,607,977,18,0,1212,5032,28,0
4128,275,1003,13,0,504,5032,33,0
12328,491,1003,24,0,701,5046,36,0
320,188,1014,20,1,259,4965,25,2
3347,462,1049,6,0,804,4972,7,0
716,407,970,34,2,678,4956,46,2
750,518,1048,21,0,652,4975,25,0
148,55,962,2,0,91,5045,4,0
250,167,1006,7,0,236,4961,12,0
8148,279,998,22,1,410,5021,30,1
1138,531,1003,34,2,978,4954,66,5
110,76,959,5,0,96,5041,7,0
552,380,1002,12,0,480,5018,13,0
1356,269,993,41,0,402,4998,62,0
3120,439,996,29,1,696,4975,41,1
2192,143,1002,7,0,241,4954,9,0
5705,192,1023,18,0,307,4971,32,1
625,232,995,21,2,383,5028,33,4
100,40,962,3,0,76,4962,6,0
2390,405,986,14,0,696,4977,25,1
681,280,973,15,0,453,4982,24,0
359,119,951,2,0,215,4972,6,0
480,160,1035,20,0,295,5046,37,1
2434,202,1030,8,0,282,4967,11,0
6253,259,1049,28,2,452,4979,52,4
391,224,963,24,0,284,4975,29,0
7408,498,959,11,1,964,4965,37,4
8301,281,984,6,0,487,5026,17,0
2661,278,974,38,0,466,4988,68,1
1768,165,952,9,0,261,4982,11,0
3446,521,966,16,0,826,4975,33,1
229,118,961,3,0,167,4997,5,0
3471,340,1003,62,0,564,5014,100,0
1240,472,973,10,0,906,4987,28,0
350,244,978,3,0,332,4951,5,0
1681,260,992,7,0,354,4955,4,0
153,80,974,4,0,121,4995,6,0
835,389,1049,39,0,573,4999,63,0
1001,510,1009,36,0,644,4987,47,1
6803,597,1039,30,0,1105,5037,37,0
1169,154,1014,10,0,258,4967,16,0
246,117,1033,5,0,184,4976,8,0
7438,211,977,17,1,411,4990,27,2
2661,176,965,21,0,339,5021,39,0
554,77,996,5,0,127,5041,9,0
433,48,1030,0,0,70,5023,0,0
379,158,1041,9,0,312,4966,19,0
200,117,1007,6,0,177,5011,8,0
4663,505,1025,7,0,795,4978,24,2
1356,83,976,0,0,155,5007,2,0
358,180,1002,18,0,302,5019,29,1
138,75,991,1,0,104,5027,4,0
1356,205,1008,20,0,284,4971,24,1
947,456,996,32,0,571,4955,45,1
1834,273,1043,20,0,410,4975,28,0
533,39,983,3,0,54,4988,5,0
497,200,986,8,0,384,4961,14,0
486,196,955,2,0,337,5048,2,0
1042,168,956,3,0,267,4963,8,0
15081,466,1045,84,2,856,4971,149,4
744,552,1045,28,0,676,5000,34,0
8560,533,974,56,3,676,4972,76,4
641,272,982,10,0,434,4997,15,0
15472,676,1004,33,0,902,5020,28,0
861,375,1007,58,2,639,4999,96,5
121,60,956,4,0,111,5038,7,0
867,272,1006,11,0,536,4962,19,0
3881,304,961,7,0,453,5034,13,1
255,9,965,0,0,17,4959,0,0
326,160,1029,26,1,258,5004,45,2
2928,131,992,9,0,157,4958,12,0
124,66,1049,2,0,104,5028,4,0
712,322,1026,3,0,553,5001,15,0
1525,66,956,4,0,131,4951,7,0
8825,438,1049,23,0,619,4974,32,0
570,298,1000,10,0,480,4962,11,0
8492,346,1022,31,0,629,5047,70,0
1596,296,981,6,0,467,5000,13,0
477,256,1024,16,0,329,5007,19,0
472,219,957,1,0,317,4983,4,0
8972,498,1046,9,0,870,4984,30,3
846,337,1036,81,4,514,4952,126,8
515,198,1038,11,0,376,5008,16,0
5144,365,1021,8,1,608,5019,18,2
1320,411,994,22,1,794,4997,37,2
1094,491,1035,37,1,900,5013,72,3
2022,210,1008,15,0,389,4968,26,0
8904,358,953,21,0,633,5016,41,0
392,154,1016,2,0,255,5031,4,0
190,134,978,6,0,180,5022,5,0
5318,443,978,50,0,606,5025,68,0
2692,259,1047,17,1,412,4954,29,2
1710,126,1047,0,0,154,5016,2,0
2168,195,977,14,0,293,4960,18,0
292,124,1026,5,0,214,5043,9,0
4147,523,1028,33,1,672,5017,43,2
771,124,1036,9,0,218,5018,12,0
1628,564,993,4,0,1098,4950,36,2
1527,335,1039,20,0,454,5040,23,0
424,248,953,4,0,311,5041,4,0
1973,184,1039,8,0,336,5012,18,0
1173,198,958,10,0,323,4978,19,1
4190,332,954,19,0,551,5031,43,0
787,270,1005,13,0,504,4961,21,0
578,228,1045,7,0,452,5026,18,0
3829,334,1033,7,1,575,4990,10,1
234,128,999,10,0,168,4951,14,0
661,329,1024,12,0,571,4986,23,0
529,233,964,24,1,462,4994,41,1
541,264,981,7,0,513,5029,11,0
315,200,977,18,1,288,4997,24,1
320,198,971,15,0,245,4973,20,0
533,72,966,3,0,117,5048,6,0
3562,463,1008,18,0,807,4971,39,0
1238,549,1039,7,0,861,5049,25,0
3124,188,1020,0,0,238,4960,0,0
1654,166,1006,21,0,273,5007,32,1
1878,195,975,13,0,243,4995,16,0
3339,413,974,36,1,719,4978,68,2
337,200,959,3,0,240,4984,1,0
1479,246,994,14,1,309,4964,24,2
4649,352,1032,2,0,492,5009,9,0
499,204,960,3,0,345,5044,6,0
1025,375,1026,15,0,643,4991,34,1
2436,282,1002,10,0,417,4992,14,0
2446,259,1021,9,0,491,5029,9,0
1859,261,1017,4,0,345,5023,10,0
1468,178,1044,22,0,278,4998,37,0
2190,373,977,37,2,624,5013,65,4
4365,198,1024,14,0,256,4981,19,0
347,149,1014,2,0,273,5013,2,0
1520,68,998,1,0,112,4951,0,0
1552,170,996,0,0,253,4973,0,0
178,59,1001,6,0,112,5036,9,0
404,181,1037,6,0,350,5015,12,0
888,353,1003,3,0,585,4987,0,0
316,143,1009,11,0,191,4980,12,0
1757,304,1006,25,1,434,4975,30,1
6054,368,996,17,0,601,4978,29,1
1981,251,980,1,0,423,5016,7,0
9593,369,995,7,0,717,5027,31,0
15144,736,975,17,0,1428,4974,60,2
3180,424,954,14,0,543,4997,17,0
1191,503,1033,68,0,776,5014,96,0
2249,353,1001,59,1,673,5002,118,4
645,389,1024,51,7,608,5016,79,11
171,89,1003,6,0,143,5039,10,0
5286,231,982,38,5,303,4967,49,6
874,422,999,16,0,612,4958,20,0
2144,270,987,19,0,479,4987,37,0
561,283,976,15,0,425,5036,27,0
2628,201,1047,31,5,247,4970,38,6
319,174,964,31,1,257,5014,46,2
5142,453,1045,19,0,870,4970,31,0
1294,154,1010,12,0,280,4976,22,0
9195,727,970,136,10,873,5019,159,11
1645,76,995,2,0,137,4993,5,0
2708,318,1018,34,0,436,5049,46,0
319,188,955,9,0,298,4977,16,1
521,192,987,12,1,380,4994,21,2
807,311,1011,28,2,522,4966,59,4
2938,357,1035,14,0,697,4989,27,0
30,19,1011,0,0,27,4952,0,0
2953,266,1031,1,0,339,5025,5,0
3962,204,1027,2,0,363,5025,0,0
1843,832,1023,117,1,1292,5015,171,1
526,256,995,38,0,443,4995,67,1
215,43,962,1,0,53,5035,2,0
892,373,1044,35,4,713,5036,66,8
5373,569,1043,28,0,769,4979,35,0
10193,351,952,53,0,685,5018,102,2
647,18,1043,1,0,33,4958,2,0
1572,131,955,14,3,182,5034,21,4
9307,614,1042,36,2,831,4960,50,3
806,331,957,35,0,629,5018,67,0
695,282,993,10,0,506,5048,16,0
2239,130,982,1,0,250,5040,2,0
651,141,1030,12,0,181,5015,17,0
969,492,1024,56,0,866,5037,109,0
789,312,1026,6,0,582,4980,16,0
2043,353,999,51,0,563,4982,92,0
271,120,960,7,0,211,4988,11,0
6735,593,1044,25,0,748,5043,30,0
74,40,977,1,0,58,4995,3,0
942,58,1019,5,0,76,4986,6,0
237,109,990,6,0,160,5041,10,0
3641,295,965,10,1,579,5009,25,4
927,370,1017,29,1,714,4980,66,4
851,508,1048,54,8,673,4960,66,9
1209,260,997,15,0,315,5036,18,1
829,449,1005,59,1,661,4951,87,2
1992,173,1013,3,0,317,4976,0,0
364,163,1008,3,0,219,5048,3,0
588,91,1039,4,0,148,4951,7,0
1307,565,1011,39,3,902,4970,76,7
2576,214,1025,2,0,388,5007,5,0
860,474,960,60,8,744,4954,88,12
3162,311,1038,14,0,376,5001,14,0
887,406,967,62,5,679,4994,93,7
2587,275,968,6,0,520,5034,19,0
5802,545,1036,18,0,968,5042,44,1
3808,172,1004,9,0,311,4969,13,0
1210,521,1031,19,0,914,5010,48,0
596,110,975,7,0,154,4987,12,1
1086,697,955,42,3,905,4969,55,4
8992,491,953,15,1,700,4974,14,1
807,334,978,53,12,521,4951,80,19
2227,472,1008,33,0,594,4981,43,0
552,294,1047,22,1,401,4975,27,1
1450,646,966,44,1,1102,5019,67,1
3014,651,992,38,2,793,4990,37,1
302,138,1029,14,0,241,5016,25,0
171,57,1015,4,0,111,5046,7,0
7297,352,983,18,2,512,4950,27,3
418,228,957,28,2,285,5000,37,3
919,483,962,16,0,777,4954,29,0
872,481,957,3,0,653,4962,14,0
2964,248,1043,13,0,476,4968,28,0
625,282,1045,11,0,453,4961,17,0
1727,278,1049,18,0,487,4997,40,0
209,88,1043,7,0,128,4974,11,0
807,402,1014,55,0,760,5006,102,1
518,242,992,13,0,471,4984,23,0
1943,222,988,7,0,404,5025,20,0
426,218,1030,18,0,353,5043,29,0
354,229,1008,4,0,277,4954,4,0
3818,337,1033,17,0,412,5047,23,1
269,115,1037,3,0,204,4971,4,0
1787,420,1035,35,2,508,5026,42,3
1457,143,1042,20,0,251,5006,34,1
367,170,1035,23,1,306,4996,42,1
3680,498,993,12,0,961,5003,24,0
696,235,958,5,0,461,4952,9,0
2397,314,986,13,0,602,5002,31,0
3708,252,1023,30,4,503,5033,64,8
298,95,985,3,0,180,4980,9,0
2194,368,1041,7,0,482,5018,1,0
1245,175,977,15,0,321,5037,25,0
1311,142,991,5,0,242,4982,8,0
10852,567,992,4,0,888,5021,9,0
11457,413,1034,20,1,686,5037,44,3
386,231,1037,5,0,293,4999,1,0
5259,519,991,29,0,804,5033,53,0
1007,696,1015,24,0,864,4965,24,0
3363,425,1004,11,0,684,5025,12,0
172,67,1021,0,0,120,5026,1,0
494,244,997,8,0,394,4988,13,0
1034,161,1040,5,0,298,5038,18,1
1739,117,971,3,0,176,4995,6,0
2212,291,976,17,0,477,5045,33,0
460,174,1042,19,0,345,5037,37,0
4550,283,1016,29,0,416,4996,41,0
