video_id,channel_name,video_length,views_final,impressions_final,like_final,comment_final,views3s_1k,impressions_1k,like_1k,comments_1k,views3s_5k,impressions_5k,like_5k,comments_5k,reaches_5k
cdfc697c-057d-45d6-b99b-6bf76ae32f2a,channel_912,535,561,4551,23,3,183,1000,4,1,226,5000,3,0,False
f88f61b8-29f8-4e1d-b303-2c775859e473,channel_908,591,634,12638,17,1,72,1000,1,0,133,5000,7,0,True
7f2db174-192e-4045-88aa-eaca6233d732,channel_301,1264,825,9751,54,5,123,1000,4,0,248,5000,5,0,True
af52e3f6-e867-4556-ab92-76b995115f70,channel_849,706,646,4739,15,6,197,1000,15,1,323,5000,10,0,False
7e74d4a7-968f-41f6-a2e2-20779d6e2a45,channel_853,184,482,9019,31,4,72,1000,1,0,108,5000,6,0,True
49298270-68c9-4025-9901-30261a05bdd4,channel_875,894,1253,9238,82,6,184,1000,14,0,402,5000,17,3,True
a49ce0e0-a639-443f-b714-05e79d1ee5b3,channel_623,1327,2155,9184,108,11,261,1000,13,0,489,5000,33,0,True
325da99b-8d49-499b-b7f3-ef883c2fb3ca,channel_96,519,461,3045,22,4,184,1000,12,1,325,5000,6,0,True
952ae46d-c9cf-4691-8b45-50ac7085fe19,channel_861,269,446,9658,17,1,67,1000,3,0,139,5000,3,1,True
14b8b921-e437-4ee8-b012-750a53396daf,channel_253,546,2288,10873,93,9,285,1000,14,0,533,5000,19,3,True
d8dd3ec6-a75b-49aa-844f-da55b6ad1263,channel_515,1046,871,5796,40,4,185,1000,2,0,382,5000,21,0,True
e919a541-4a18-46fa-87da-a683e8282e56,channel_981,1579,689,5096,28,4,194,1000,11,0,348,5000,10,1,False
0710f7a1-5c89-4c2d-97e2-b366cac25e00,channel_637,1712,517,4756,21,3,161,1000,6,0,232,5000,6,0,False
2eed7f56-8fee-4e73-81a6-58aefd20cfee,channel_761,631,378,3077,15,1,138,1000,2,0,213,5000,3,0,False
11cc9ce0-e8a4-42c8-916a-9b73662b9883,channel_568,651,1172,9879,74,4,169,1000,6,0,280,5000,18,0,True
52694f60-3078-40d2-810c-af4de038d05d,channel_220,705,964,8943,38,5,147,1000,10,0,214,5000,14,0,True
ffc9d40e-bafb-45ec-a32a-b3dcb105c819,channel_44,1626,270,5097,11,2,74,1000,4,0,129,5000,6,0,True
687f212d-90c3-4182-bf0b-1c72a2f78a39,channel_940,1363,796,4386,25,6,219,1000,11,1,319,5000,17,1,True
612cade1-d2ba-4e67-870f-8291868e57bb,channel_646,163,222,4937,9,2,61,1000,4,0,107,5000,1,0,False
29cf0f32-b473-4e22-b606-5e41bec7a62e,channel_416,145,1178,8221,42,5,213,1000,16,0,526,5000,8,2,True
ddc02e89-9c48-41bc-b43d-af87a6b3cc48,channel_625,776,1165,5642,58,4,261,1000,12,0,582,5000,36,1,True
b2936c72-0340-4c27-a212-f7b9fcf51e7d,channel_782,401,1437,6571,85,12,294,1000,16,2,675,5000,35,1,True
31d03b02-b237-4b30-9c74-601e8c516fd6,channel_620,870,1945,11527,129,6,230,1000,6,1,378,5000,25,1,True
ee490820-3d6f-474b-ade4-bc1cb49c86ee,channel_569,1620,528,13940,11,1,56,1000,1,0,128,5000,5,0,True
56e219e5-08bf-4b66-8ad9-02c7ac0520a4,channel_865,1404,616,14637,30,3,67,1000,2,0,122,5000,4,0,True
ba920ae9-ac85-4a04-89c9-ecb51f792ac9,channel_958,717,1188,8135,35,6,217,1000,10,1,541,5000,9,2,True
f5978439-1e5b-4fc9-9980-b17a6b63350b,channel_552,1511,542,3821,12,2,200,1000,9,0,317,5000,11,1,False
3b809671-c62e-4cd7-ba48-73b1ed1f6fb7,channel_820,726,280,4582,14,1,95,1000,5,0,144,5000,4,0,False
02eacbdf-687f-48f5-b293-ad215dfb2d7f,channel_354,890,763,3945,46,4,272,1000,3,1,332,5000,9,0,False
70c49f07-e510-4cd9-9669-05ce2d0fd9e4,channel_253,1392,457,4432,13,3,126,1000,9,0,313,5000,19,1,True
5721b0e2-0b9c-4bbf-bb53-e28e2399db6e,channel_364,265,683,11643,17,2,76,1000,1,0,140,5000,3,0,True
d61ede73-ad54-43cc-8ea8-082039eaa926,channel_39,1580,1124,8913,49,5,169,1000,11,0,362,5000,19,1,True
d2cb7200-2f4e-4d5b-94e1-ba8d034ed62c,channel_990,598,373,3202,8,3,129,1000,4,0,173,5000,6,0,False
7e4adcd5-c4a1-4192-b18f-3502a41b8af3,channel_791,954,858,6642,19,8,144,1000,2,1,352,5000,15,2,True
4a78809e-2f84-43de-8b88-a0c9d012dff6,channel_143,1205,299,4053,11,2,95,1000,5,0,192,5000,5,1,True
34135996-52b2-4b76-ad43-ece891f3f619,channel_87,762,1654,11654,95,6,168,1000,8,1,259,5000,5,1,True
afb7c05e-70e1-442c-9b9c-870cff402177,channel_360,1432,255,4942,16,1,74,1000,3,0,126,5000,1,0,False
61b4df3c-5545-49ae-a248-a6c52f1c1a0d,channel_835,76,835,5637,37,6,230,1000,7,0,354,5000,11,1,False
d07b8a10-538d-42e1-8011-2293ac338213,channel_479,117,902,3665,62,3,286,1000,17,2,440,5000,10,0,True
92cfe830-c13b-4373-b6ed-5de2513e38a9,channel_88,665,2319,13954,64,19,255,1000,4,0,374,5000,25,2,True
b0aaf5ab-ccb4-414b-84db-c3b47261331b,channel_75,1489,1682,8520,44,6,281,1000,7,1,473,5000,24,1,True
2d8ec21d-9d6e-4cea-9892-188072929f9e,channel_352,1651,1680,7837,39,14,248,1000,14,2,348,5000,8,1,True
8ea811f5-94f5-4eb2-98ca-09c11163b7d8,channel_4,1381,2586,13832,70,14,270,1000,12,2,575,5000,18,4,True
219d0c32-796b-46bb-b4c5-f2af647d8507,channel_858,501,2357,12967,108,19,257,1000,10,1,542,5000,32,3,True
16c1c9b4-ab3f-412d-929e-e26544bce5e7,channel_2,1737,771,4608,41,2,239,1000,10,0,379,5000,4,0,False
24d1f7d7-f7b3-4e6f-a501-6a75ff652080,channel_731,1193,1136,6593,49,9,248,1000,19,2,491,5000,32,2,True
bf9f43aa-5f54-46c1-9bd3-1a76027db9ab,channel_760,754,908,4186,26,7,283,1000,5,1,413,5000,11,1,False
c641b9a1-becb-477d-bf54-ab5874f1a8ab,channel_856,1784,770,4964,52,3,235,1000,8,1,411,5000,16,0,True
68a3558b-0f57-4d05-9554-90e4ca793dba,channel_735,975,2284,12651,61,6,283,1000,20,1,431,5000,28,3,True
9eccb6b3-34f1-4905-b556-a2de8936f473,channel_803,185,916,12115,44,3,103,1000,6,0,196,5000,7,0,True
028e2050-9d0c-458c-b812-935a5ed55cd8,channel_890,1201,904,5693,27,1,248,1000,7,0,520,5000,13,1,True
e69f3655-d67b-47c0-9abc-50d323bb2a0e,channel_339,336,641,2969,40,3,250,1000,10,2,411,5000,15,1,True
44b608e9-122f-4479-a4ef-bd05fbe306c4,channel_83,1750,770,3476,35,6,272,1000,5,0,372,5000,10,1,False
be905105-f797-4e25-b559-521c905b4181,channel_953,922,184,3823,7,1,66,1000,2,0,90,5000,3,0,False
6f063392-20bd-4066-82cf-f57bd04083fe,channel_472,417,1029,4430,67,4,285,1000,7,0,480,5000,8,1,False
